Brand Name,Model Number,Annual Energy Use (kWh/yr),Integrated Modified Energy Factor,Volume (cu. ft.),Electric Rate,Gas Rate,Annual Cost
Amana,NFW5800D**,109,2.76,4.2,-,-,-
Amana,NFW5800H**,123,2.76,4.3,0.12,1.09,13
Amana,NTW4516F**,206,1.57,3.5,0.12,1.09,11
Asko,W2084.W.U,75,2.31,2,-,-,-
Asko,W4114C.T.U,75,2.41,2.7,-,-,-
Asko,W4114C.W.U,75,2.41,2.7,-,-,-
Asko,W6124X.W.U,75,2.41,2.7,-,-,-
Beko,BWM7200X,84,2.07,1.9,0.12,1.09,7
Beko,WMY 10148 C0,82,2.29,2.5,-,-,-
Beko,WMY 10148 C2,82,2.29,2.5,-,-,-
Beko,WMY 10148 W0,82,2.29,2.5,-,-,-
Beko,WMY 10148 W2,82,2.29,2.5,-,-,-
Beko,WTE 7604XLW0,67,2.09,2,-,-,-
Blomberg,WM 98200 SX2,82,2.29,2.5,-,-,-
Blomberg,WM 98200 SX,82,2.29,2.5,-,-,-
Blomberg,WM 98400 SX2,82,2.29,2.5,-,-,-
Blomberg,WM 98400 SX,82,2.29,2.5,-,-,-
Blomberg,WM72200W,84,2.07,1.9,0.12,1.09,7
Blomberg,WM77120,67,2.09,2,-,-,-
Blomberg,WM98400SX2,107,2.29,2.5,0.12,1.09,7
Bosch,WAT28400UC,84,2.22,2.2,-,-,-
Bosch,WAT28401UC,84,2.22,2.2,-,-,-
Bosch,WAT28402UC,84,2.22,2.2,-,-,-
Bosch,WAW285H2UC,84,2.22,2.2,-,-,-
Crosley,CFWH4084G**,85,2.92,4.2,-,-,-
Crosley,YFW450S*M***,116,2.76,4.5,-,-,-
Electrolux,EFLS210****,90,2.13,2.4,-,-,-
Electrolux,EFLS517****,75,2.92,4.3,-,-,-
Electrolux,EFLS527****,75,2.92,4.3,-,-,-
Electrolux,EFLS617****,85,2.92,4.4,-,-,-
Electrolux,EFLS627****,85,2.92,4.4,-,-,-
Electrolux,EFLS627****,85,2.92,4.4,0.12,1.09,8
Electrolux,EFLW317****,60,2.76,4.3,-,-,-
Electrolux,EFLW417****,60,2.92,4.3,-,-,-
Electrolux,EFLW427****,60,2.92,4.3,-,-,-
Electrolux,ELFW7337***,50,2.76,4.4,0.12,1.09,5
Electrolux,FFTW4120SW,110,1.57,4.1,0.12,1.09,11
Fisher & Paykel,WH2424F1,80,2.09,2.4,-,-,-
Fisher & Paykel,WH2424P1,80,2.09,2.4,-,-,-
Gaggenau,WM262700,84,2.22,2.2,-,-,-
GE,GFW148S*L***,80,2.07,2.4,-,-,-
GE,GFW148S*M***,97,2.07,2.4,-,-,-
GE,GFW400S*M***,113,2.76,4.1,-,-,-
GE,GFW430S*M***,123,2.76,4.5,-,-,-
GE,GFW450S*M***,116,2.76,4.5,-,-,-
GE,GFW450S*M***,116,2.76,4.5,0.12,1.09,11
GE,GFW480S*K***,153,2.76,4.9,-,-,-
GE,GFW480S*K***,153,2.76,4.9,0.12,1.09,15
GE,GFW490R*K***,153,2.76,4.9,-,-,-
GE,GFW650S*N***,158,2.76,4.8,0.12,1.09,16
GE,GFW850S*N***,158,2.76,5,0.12,1.09,17
GE,GFWR2700H***,134,2.8,4.5,-,-,-
GE,GFWR2705H***,134,2.8,4.5,-,-,-
GE,GTW220A*K***,187,1.57,3.8,0.12,1.09,12
GE,GTW470BMM***,160,2.15,4.2,-,-,-
GE,GTW485ASJ2WS,152,2.06,4.2,-,-,-
GE,GTW485ASJ3WS,152,2.06,4.2,-,-,-
GE,GTW485ASJ4WS,152,2.06,4.2,-,-,-
GE,GTW485ASJ5WS,152,2.06,4.2,-,-,-
GE,GTW485BMM***,160,2.15,4.2,-,-,-
GE,GTW490ACJ2WS,133,2.07,4.4,-,-,-
GE,GTW490ACJ3WS,133,2.07,4.4,-,-,-
GE,GTW490ACJ4WS,133,2.07,4.4,-,-,-
GE,GTW490ACJ5WS,133,2.07,4.4,-,-,-
GE,GTW490ACJ5WW,133,2.07,4.4,-,-,-
GE,GTW525A*P***,183,1.57,4.2,0.12,1.09,14
GE,GTW680BMM**,165,2.16,4.6,-,-,-
GE,GTW680BPL0DG,143,2.08,4.6,-,-,-
GE,GTW680BPL1DG,143,2.08,4.6,-,-,-
GE,GTW680BSJ3WS,143,2.08,4.6,-,-,-
GE,GTW680BSJ4WS,143,2.08,4.6,-,-,-
GE,GTW680BSJ5WS,143,2.08,4.6,-,-,-
GE,GTW680BSJ6WS,143,2.08,4.6,-,-,-
GE,GTW680BSJ6WS,143,2.08,4.6,0.12,1.09,10
GE,GTW685B*L***,150,2.06,4.5,-,-,-
GE,GTW685B*L***,150,2.06,4.5,0.12,1.09,11
GE,GTW750C*L***,176,2.06,5,-,-,-
GE,GTW755C*M***,181,2.06,4.9,-,-,-
GE,GTW810S*J***,152,2.76,5.1,-,-,-
GE,GTW860S*J***,152,2.76,5.1,-,-,-
GE,GUD24ESSM***,138,1.57,2.3,0.12,1.09,11
GE,GUD27ESSM***,188,1.57,3.8,0.12,1.09,15
GE,HTW240A*K***,187,1.57,3.8,0.12,1.09,12
GE,QFW150S*N***,108,2.07,2.4,0.12,1.09,11
GE,WCVH4800****,99,2.1,2.2,-,-,-
GE,WCVH4800K***,99,2.1,2.2,-,-,-
Insignia,NS-TWM48WH8B,92,2.06,4.8,-,-,-
Kenmore,2613*41*,169,2.06,4.8,-,-,-
Kenmore,2713*41*,169,2.06,4.8,-,-,-
Kenmore,2813*41*,195,2.06,5.3,-,-,-
Kenmore,2913*41*,195,2.06,5.3,-,-,-
Kenmore,3143#,150,2.38,5,-,-,-
Kenmore,3155#,130,2.38,5.2,-,-,-
Kenmore,3163*61*,271,2.06,6.2,-,-,-
Kenmore,4107#,120,2.92,5.2,-,-,-
Kenmore,4126#,90,2.92,4.5,-,-,-
Kenmore,4130#,105,2.92,4.5,-,-,-
Kenmore,4139#,90,2.92,4.5,-,-,-
Kenmore,4158#,105,2.92,4.5,-,-,-
Kenmore,4168#,105,2.92,4.5,-,-,-
Kenmore,417.4194*71*,90,2.13,2.4,-,-,-
Kenmore,4178#,160,2.76,4.5,-,-,-
Kenmore,4196#,100,2.92,5.2,-,-,-
Kenmore,4198#,170,2.76,5.2,-,-,-
Kenmore,592-2922*,132,2.09,4.3,-,-,-
Kenmore,592-2933*,176,2.11,4.8,-,-,-
Kenmore,592-4961*,85,2.8,4.2,-,-,-
Kenmore,592-4968*,110,2.8,4.5,-,-,-
Kenmore,592-4969*,105,2.92,5,-,-,-
LG,WKE100H*A,105,2.92,4.5,0.12,1.09,10
LG,WKEX200H*A,105,2.92,4.5,0.12,1.09,10
LG,WM1385H*,120,2.07,2.3,-,-,-
LG,WM1388H*,120,2.07,2.3,-,-,-
LG,WM1399H*A,120,2.07,2.3,-,-,-
LG,WM3080C*,90,2.92,4.3,-,-,-
LG,WM3085C*,90,2.92,4.5,-,-,-
LG,WM3090C*,100,2.92,4.5,-,-,-
LG,WM3095C*,100,2.92,4.5,-,-,-
LG,WM3180C*,90,2.92,4.5,-,-,-
LG,WM3270C*,90,2.92,4.5,-,-,-
LG,WM3275C*,90,2.92,4.5,-,-,-
LG,WM3400C*,100,2.92,4.5,0.12,1.09,10
LG,WM3500C*,100,2.92,4.5,-,-,-
LG,WM3505C*,100,2.92,4.5,-,-,-
LG,WM3575C*,90,2.92,4.5,-,-,-
LG,WM3600H*A,105,2.92,4.5,0.12,1.09,10
LG,WM3670H*A,100,2.92,4.5,-,-,-
LG,WM3700H*A,105,2.92,4.5,-,-,-
LG,WM3700H*A,105,2.92,4.5,0.12,1.09,10
LG,WM3770H*A,105,2.92,4.5,-,-,-
LG,WM4370H*A,105,2.92,4.5,-,-,-
LG,WM5000H*A,105,2.92,4.5,-,-,-
LG,WM5005H*A,105,2.92,4.5,-,-,-
LG,WM8100H*A,120,2.92,5.2,-,-,-
LG,WM9000H*A,120,2.92,5.2,-,-,-
LG,WM9500H*A,120,3.1,5.8,-,-,-
LG,WT1150C*,140,2.38,4.5,-,-,-
LG,WT1501C*,140,2.38,4.5,-,-,-
LG,WT1901C*,130,2.38,5,-,-,-
LG,WT5275C*,140,2.38,4.5,-,-,-
LG,WT5680H*A,135,2.38,5,-,-,-
LG,WT7050C*,180,2.06,4.5,-,-,-
LG,WT7100C*,220,2.06,4.5,-,-,-
LG,WT7200C*,130,2.38,5,-,-,-
LG,WT7250C*,110,2.76,5,-,-,-
LG,WT7300C*,110,2.76,5,-,-,-
LG,WT7500C*,130,2.38,5.2,-,-,-
LG,WT7600H*A,130,2.38,5.2,-,-,-
LG,WT7700H*A,150,2.76,5.7,-,-,-
LG,WT7900H*A,150,2.76,5.5,-,-,-
Maytag,MHW3500F**,87,2.92,4.5,-,-,-
Maytag,MHW3505F**,88,2.92,4.4,-,-,-
Maytag,MHW5500F**,89,2.92,4.5,-,-,-
Maytag,MHW5630H**,128,2.76,4.5,0.12,1.09,10
Maytag,MHW8150E**,79,2.76,4.5,-,-,-
Maytag,MHW8200F**,89,2.92,4.5,-,-,-
Maytag,MHW8630H**,159,2.76,5,0.12,1.09,8
Maytag,MHW8630HC1,159,2.76,5,0.12,1.09,8
Maytag,MVWB755D**,160,2.06,4.8,-,-,-
Maytag,MVWB765F**,356,1.57,4.7,0.12,1.09,23
Maytag,MVWB835D**,187,2.06,5.3,-,-,-
Maytag,MVWB855D**,187,2.06,5.3,-,-,-
Maytag,MVWB865F**,198,2.06,5.3,-,-,-
Maytag,MVWB955F**,197,2.38,6.2,-,-,-
Maytag,MVWB965H**,311,2.06,6,-,-,-
Maytag,MVWX655D*+,300,1.57,4.3,0.12,1.09,15
Miele,WWF060,116,2.13,2.3,-,-,-
Miele,WWH660,116,2.13,2.3,-,-,-
Miele,WWH860,116,2.13,2.3,-,-,-
Roper,RTW4516F**,206,1.57,3.5,0.12,1.09,13
Samsung,WA45H70**A*,131,2.06,4.5,-,-,-
Samsung,WA45H72**A*,131,2.06,4.3,-,-,-
Samsung,WA45K71**A*,125,2.06,4.5,-,-,-
Samsung,WA45K76**A*,125,2.06,4.5,-,-,-
Samsung,WA45M70**A*,125,2.06,4.5,-,-,-
Samsung,WA45N30**A*,240,1.57,4.5,0.12,1.09,17
Samsung,WA45N71**A*,125,2.06,4.5,-,-,-
Samsung,WA48H74**A*,145,2.21,4.8,-,-,-
Samsung,WA48J770*A*,129,2.29,4.8,-,-,-
Samsung,WA48J777*A*,129,2.29,4.8,-,-,-
Samsung,WA50K86**A*,120,2.38,5,-,-,-
Samsung,WA50M74**A*,125,2.06,5,-,-,-
Samsung,WA50N73**A*,125,2.06,5,-,-,-
Samsung,WA50R52**A*,120,2.06,5,0.12,1.09,9
Samsung,WA52J806*A*,110,2.38,5.2,-,-,-
Samsung,WA52J870*A*,165,2.28,5.2,-,-,-
Samsung,WA52M77**A*,165,2.06,5.2,-,-,-
Samsung,WA52M86**A*,125,2.06,5.2,-,-,-
Samsung,WA54M87**A*,165,2.06,5.4,-,-,-
Samsung,WA54R76**A*,165,2.06,5.4,0.12,1.09,13
Samsung,WA56H90**A*,194,2.3,5.6,-,-,-
Samsung,WF42H50**A*,85,2.8,4.2,-,-,-
Samsung,WF45H61**A*,118,2.76,4.5,-,-,-
Samsung,WF45H63**A*,110,2.8,4.5,-,-,-
Samsung,WF45K62**A*,75,2.92,4.5,-,-,-
Samsung,WF45K65**A*,100,2.8,4.5,-,-,-
Samsung,WF45K65**A*,100,2.8,4.5,0.12,1.09,9
Samsung,WF45M51**A*,80,3,4.5,-,-,-
Samsung,WF45M55**A*,105,2.92,4.5,-,-,-
Samsung,WF45N53**A*,80,3,4.5,-,-,-
Samsung,WF45N63**A*,100,2.92,4.5,-,-,-
