Brand Name,Model Number,Annual Energy Use (kWh/yr)
Amana,ADB1400AG**,270
Asko,D5956*,259
Asko,DBI652*,235
Asko,DBI663*,235
Asko,DBI664*,235
Asko,DBI675*,235
Asko,DFI652*,235
Asko,DFI663*,235
Asko,DFI664*,235
Asko,DFI675*,235
Asko,DOD651*,235
Avanti,DW1831D0WE,234
Avanti,DW1832D1BE,234
Avanti,DW1833D3SE,234
Beko,DDN25400*,255
Beko,DDN25401*,234
Beko,DDS25840*,220
Beko,DDS25841****,220
Beko,DDT25400**,255
Beko,DDT25401**,234
Beko,DDT28410*,256
Beko,DDT28430**,225
Beko,DDT29430**,256
Beko,DDT29430*,256
Beko,DDT36430***,225
Beko,DDT38530** WS,256
Beko,DDT38530***,225
Beko,DDT39432***,225
Beko,DIN25400,255
Beko,DIN25401,234
Beko,DIS25840,220
Beko,DIS25841,220
Beko,DIT25400,255
Beko,DIT25401,234
Beko,DIT28410,256
Beko,DIT28430,225
Beko,DIT29430,256
Beko,DIT38530,225
Beko,DIT39432,225
Beko,DUT25400*,255
Beko,DUT25401**,234
Beko,DUT28430*,225
Bertazzoni,DW18PR,234
Bertazzoni,DW24PR,234
Bertazzoni,DW24XT,249
Bertazzoni,DW24XT,249
Bertazzoni,DW24XV,249
BLACK+DECKER,BCD6W,203
Blomberg,DW 25502 **,255
Blomberg,DW 51600 ****,234
Blomberg,DW 52600 ****,234
Blomberg,DW 55502 ***,255
Blomberg,DWS 51500 ****,220
Blomberg,DWS 55100 ***,220
Blomberg,DWT 25502 **,255
Blomberg,DWT 25504 ****,234
Blomberg,DWT 28500 **,225
Blomberg,DWT 28500 **WS,256
Blomberg,DWT 51600 ****,234
Blomberg,DWT 51600 ***WS,260
Blomberg,DWT 52600 ****,234
Blomberg,DWT 52800 ****,225
Blomberg,DWT 56502 ***,255
Blomberg,DWT 58500 ***,225
Blomberg,DWT 58500 ***WS,256
Blomberg,DWT 59500 ***,225
Blomberg,DWT 71600 ****,234
Blomberg,DWT 81800 ****,225
Blomberg,DWT 81800 ***WS,256
Blomberg,DWT 81900 ****,225
Blomberg,DWT 81900 ***WS,256
Bosch,SGE53U5***,259
Bosch,SGE53X5***,259
Bosch,SGE68U5***,259
Bosch,SGE68X5***,259
Bosch,SGV68U5***,259
Bosch,SGX68U5***,259
Bosch,SHE33T5***,269
Bosch,SHE3AR5*UC,269
Bosch,SHE3AR7*UC,269
Bosch,SHE3ARB***,269
Bosch,SHE3ARF*UC,269
Bosch,SHE3ARL*UC,269
Bosch,SHE4AV5***,269
Bosch,SHE53T5***,259
Bosch,SHE53TF***,259
Bosch,SHE53TL***,259
Bosch,SHE65T5***,259
Bosch,SHE65U5***,259
Bosch,SHE68T5***,259
Bosch,SHE68TL***,259
Bosch,SHE7PT5***,259
Bosch,SHE84AWG5N,269
Bosch,SHE863WF**,269
Bosch,SHE863WF2N,269
Bosch,SHE878WD#*,269
Bosch,SHE89PW5#*,269
Bosch,SHE89PW7#*,269
Bosch,SHE8PT5***,259
Bosch,SHE9PT5***,239
Bosch,SHEM3A****,269
Bosch,SHEM78W5#*,269
Bosch,SHEM78WH#*,239
Bosch,SHP53T5***,259
Bosch,SHP53TL***,259
