Brand Name,Model Number,Capacity (MBtuh),AFUE (%),Eae (kWh/yr),ECM?,Motor HP,Ventilation Fan Watts
Airquest,G9MXE0601714A**,58,96,317,Y,3/4,81.7
Airquest,G9MXE0601714A,58,96,317,Y,3/4,81.7
Airquest,G9MXE0601714A**D,58,95,327,Y,3/4,81.7
Airquest,G9MXE0601714A*D,58,95,327,Y,3/4,81.7
Airquest,N95ESN0401410A*,39,96,228,Y,1/2,54.4
Airquest,N95ESN0401410A,39,96,228,Y,1/2,54.4
Airquest,N95ESN0401410A**D,39,95,229,Y,1/2,54.4
Airquest,N95ESN0401410A*D,39,95,229,Y,1/2,54.4
Airquest,N95ESN0601714A*,58,96,317,Yes,3/4,81.7
Airquest,N95ESN0601714A,58,96,317,Yes,3/4,81.7
Airquest,N95ESN0601714A**D,58,95,327,Yes,3/4,81.7
Airquest,N95ESN0601714A*D,58,95,327,Yes,3/4,81.7
American Standard,ADH1B040A9241**,38,95,392,N,1/5,21.8
American Standard,ADH1B040A9H21B*,38,95,270,Y,1/2,54.4
American Standard,ADH1B065A9421**,57,95,789,N,1/2,54.4
American Standard,ADH1C085A9481**,76,95,899,N,1/2,54.4
American Standard,ADH1C085A9481A*,76,95,899,N,1/2,54.4
American Standard,ADH2B060A9V3V**,59,96,246,Y,1/2,54.4
American Standard,ADHMC100ACV4VB*,96,96,633,Y,3/4,81.7
American Standard,AUH1B040A9241C*,38,95,358,N,1/5,21.8
American Standard,AUH1B040A9241C*,38,95,358,N,1/5,21.8
American Standard,AUH1B040A9241**-H,38,94.2,358,N,1/5,21.8
American Standard,AUH1B060A9361**,57,95,635,N,1/3,36.3
American Standard,AUH1B060A9361C*,57,95,635,N,1/3,36.3
American Standard,AUH1B060A9361**-H,57,95,635,N,1/3,36.3
American Standard,AUH1B080A9421**,73,95,808,N,1/2,54.4
American Standard,AUH1B080A9421**-H,73,95,808,N,1/2,54.4
American Standard,AUH1C100A9481**,92,95,864,N,1/2,54.4
American Standard,AUH1C100A9481C*,92,95,864,N,1/2,54.4
American Standard,AUH1C100A9481**-H,92,95,864,N,1/2,54.4
American Standard,S9V2B040D3PS***,39,96,222,Y,1/2,54.4
American Standard,S9V2B040D3PSAA*,39,96,222,Y,1/2,54.4
American Standard,S9V2B040U3PS***,39,96,162,Y,1/2,54.4
American Standard,S9V2B040U3PSAA*,39,96,162,Y,1/2,54.4
American Standard,S9V2B060D3PS***,58,96,257,Y,1/2,54.4
American Standard,S9V2B060D3PSAA*,58,96,257,Y,1/2,54.4
American Standard,S9V2B060U4PS***,58,96,214,Y,3/4,81.7
American Standard,S9V2B060U4PSAA*,58,96,214,Y,3/4,81.7
American Standard,S9V2B080D3PS***,78,96,492,Y,1/2,54.4
American Standard,S9V2B080D3PSAA*,78,96,492,Y,1/2,54.4
American Standard,S9V2B080D4PS***,78,96,435,Y,3/4,81.7
American Standard,S9V2B080D4PSAA*,78,96,435,Y,3/4,81.7
American Standard,S9V2B080U4PS***,78,96,441,Y,3/4,81.7
American Standard,S9V2B080U4PSAA*,78,96,441,Y,3/4,81.7
American Standard,S9V2C080U5PS***,78,96,338,Y,1,108.9
American Standard,S9V2C080U5PSAA*,78,96,338,Y,1,108.9
American Standard,S9V2C100D4PS***,97,96,464,Y,3/4,81.7
American Standard,S9V2C100D5PS***,97,96,459,Y,1,108.9
American Standard,S9V2D120D5PS***,116,96,521,Y,1,108.9
American Standard,S9X1B040D3PSB**,39,96,184,Y,1/2,54.4
American Standard,S9X1B040D3PSB**,39,96,184,Y,1/2,54.4
