Brand Name,Outdoor Model Number,Indoor Model Number,"Capacity 17F (kBtuh)","Capacity 47F (kBtuh)",HSPF,"Cooling Capacity (kBtuh)",SEER,Motor HP,Ventilation Fan Watts
Airquest,NXH530GKA**,FXM4X30**AL,17,28.2,8.5,28.4,15,-,-
Airquest,NXH530GKA*,FXM4X30**AL,17,28.2,8.5,28.4,15,-,-
Amana Distinctions,GSZC180601C*,AVPTC61D14B*,37,59,9.5,56,17,-,-
American Standard,4A6C7048A3,TEM6A0D48H41+TDR,30.8,46,9,47,17.5,-,-
American Standard,4A6H4042G1,TEM6A0C48H41+TDR+UF/HRZ,24.8,36.4,8.5,42,14.5,3/4,81.65415
American Standard,4A6H5024H1,TEM6A0B24H21+TDR,13.8,22,9.5,24.2,15,1/3,36.3
American Standard,4A6H5030H1,TEM6A0B30H21+TDR,17.8,27.8,9.5,29,15.25,1/3,36.3
American Standard,4A6H5036H1,TEM6A0C36H31+TDR,21,33,9.5,34.8,15,1/2,54.4
American Standard,4A6H5042H1,TEM6A0C48H41+TDR+DF,24.8,37,9,40.5,15,-,-
American Standard,4A6H5042H1,TEM6A0C48H41+TDR+UF/HRZ,25.6,39,9.5,42,15,-,-
American Standard,4A6H5048H1,TEM6A0C48H41+TDR+DF,28.2,42.5,8.55,46.5,15,3/4,81.7
American Standard,4A6H5048H1,TEM6A0C48H41+TDR+UF/HRZ,28.6,43.5,9.5,48,15,3/4,81.7
American Standard,4A6H5048H1,TEM6A0D48H41+TDR,28.2,42.5,8.55,46.5,15,-,-
American Standard,4A6H5048H1,TEM6A0D48H41+TDR,28.4,44.5,9.5,47,15,-,-
American Standard,4A6H5048H1,TEM6A0D48H41+TDR,28.6,43.5,9.5,48,15,-,-
American Standard,4A6H6036H1,TAM9A0B30V31,22,33.8,9.6,35.2,16,-,-
American Standard,4A6H6048H1,TEM6A0C48H41+TDR+UF/HRZ,29,44.5,9.6,48,16.5,3/4,81.65415
American Standard,4A6V8036A1,4TXCB004CC3,25,30.4,9.5,33.4,18,-,-
American Standard,4A6V8036A1,4TXCB004CC3,25.4,31.2,9.6,33.8,18,-,-
American Standard,4A6V8036A1,4TXCB004CC3,25.6,31.2,9.6,34.4,18,-,-
American Standard,4A6V8036A1,4TXCB004CC3,25.6,31.4,9.6,34.2,18,-,-
American Standard,4A6V8036A1,4TXCB004CC3,25.8,31.6,10,34.4,18,-,-
American Standard,4A6V8060A1,TAM9A0C60V51,48,50.5,10,54,18,-,-
American Standard,MUZ-D30NA,MSZ-D30NA,20.8,32.6,8.2,30.6,14.5,-,-
American Standard,MUZ-FH06NAH,MSZ-FH06NA**,5.9,8.7,12.5,6,33.1,-,-
American Standard,MUZ-FH06NA,MSZ-FH06NA**,5.9,8.7,13.5,6,33.1,-,-
American Standard,MUZ-FH09NA,MSZ-FH09NA**,6.7,10.9,12.5,9,30.5,-,-
American Standard,MUZ-FH09NA,MSZ-FH09NA,6.7,10.9,13.5,9,30.5,-,-
American Standard,MUZ-FH12NAH,MSZ-FH12NA**,8.1,13.6,11.5,12,26.1,-,-
American Standard,MUZ-FH12NA,MSZ-FH12NA,8.1,13.6,12.5,12,26.1,-,-
American Standard,MUZ-FH15NA,MSZ-FH15NA**,11,18,11,15,22,-,-
