Brand Name,Model Number,Annual Energy Use (kWh/yr)
Absocold,ARD104AB14R/L,242
Absocold,ARD1033F*14R/L,297
Absocold,ARD204AB14R/L,249
Absocold,ARD204ABS14R/L,249
Absocold,ARD244A*10R/L,223
Absocold,ARD298C*14R/L,319
Absocold,ARD369A*14R/L,262
Absocold,ARD484F*10R/L,346
Amana,AMA31**E,320
Amana,AMA31S5E,320
Amana,AMA43BKE,228
Amana,AMA43R**E,268
Amana,ART318FFD*,411
Amana,ART348FFF***,370
Amana,ART348FFF***,455
Arctic King,ABDA049ADBD,270
Arctic King,ABDA049ADBS,270
Arctic King,ABDA049AS,270
Arctic King,AFRM016AEB,207
Arctic King,AFRM016BEB,207
Arctic King,AFRM024AES,213
Arctic King,AFRM026AEB,215
Arctic King,AFRM026AES,215
Arctic King,AFRM026AEW,215
Arctic King,AFRM033AEB,220
Arctic King,AFRM033AES,183
Arctic King,AFRM033BEB,220
Arctic King,AFRM044AEB,228
Arctic King,AFRM044AES,228
Arctic King,AFRM044AEW,228
Arctic King,AFRM045AES,226
Arctic King,ATMA100AEB,296
Arctic King,ATMA100AES,296
Arctic King,ATMA100AEW,296
Arctic King,ATMA115AEB,311
Arctic King,ATMA115AES,311
Arctic King,ATMA115AEW,311
Arctic King,ATMP031AEB,270
Arctic King,ATMP031AES,270
Arctic King,ATMP031AET,270
Arctic King,ATMP031AEW,270
Arctic King,ATMP032AEB,270
Arctic King,ATMP032AES,270
Arctic King,FKAFRM024AEU,213
Arctic King,FKATMP031AEB,270
Arctic King,FKATMP031AEW,270
Avalon,A1-1.6CFSDBLK,207
Avalon,A1-1.6CFSDSS,207
Avalon,A1-3.1CFDDBLK,270
Avalon,A1-3.1CFDDSS,270
Avanti,AR17T1B,238
Avanti,AR2406W,230
Avanti,AR24T3S,238
Avanti,AR321BB,259
Avanti,AR4446B,269
Avanti,AR4456SS,269
Avanti,AR52T3SB,258
Avanti,FF116B0W,310
Avanti,FF116B1B,310
Avanti,FF116B3S,310
Avanti,FF116D0W,311
Avanti,FF145H*,325
Avanti,FF21D0W,396
Avanti,FF45006W,359
Avanti,FF7B0W,393
Avanti,FF7B1B,393
Avanti,FF7B3S,393
Avanti,FF99D0W,296
Avanti,FF99D3S,296
Avanti,FFBM102D0W,370
Avanti,FFBM102D2P,370
Avanti,FFBM102D3S,370
Avanti,FFBM45136SS,340
