Brand Name,Model Number,SP,Speed (CFM),Input power (watts)
Air King,AK80LS1,0.1,80,28.1
Air King,AK100D,0.1,100,26.4
Air King,AK100D,0.1,50,15
Air King,AK110PN,0.1,100,26.4
Air King,AK80,0.1,80,27.6
Air King,AK90,0.1,90,25.4
Air King,BFC90,0.1,90,19
Air King,BFC90H,0.1,90,19
Air King,BFQ80,0.1,80,29
Air King,BFQ90,0.1,90,50
Air King,E80D,0.1,110,37
Air King,E80D,0.1,30,13.5
Air King,E80D,0.1,80,26.2
Broan,AE110,0.1,110,23.4
Broan,AE110L,0.1,110,23.4
Broan,AE110S,0.1,110,23.4
Broan,AE110SL,0.1,110,23.4
Broan,AE50110DC,0.1,110,10.6
Broan,AE50110DC,0.1,50,3.4
Broan,AE50110DC,0.1,80,6.5
Broan,AE50110DC,0.25,110,14.9
Broan,AE50110DC,0.25,50,5.3
Broan,AE50110DC,0.25,80,9.4
Broan,AE80,0.1,80,26.9
Broan,AER50,0.1,50,20
Broan,QTXE110,0.1,110,31.4
Broan,RB110,0.1,110,29.8
Broan,RB110L,0.1,110,31.6
Broan,RB110L1,0.1,110,32.4
Broan,ZB110M,0.1,100,7
Broan,ZB110M,0.1,110,7.7
Broan,ZB110M,0.1,30,3.3
Broan,ZB110M,0.1,40,3.7
Broan,ZB110M,0.1,50,4.1
Broan,ZB110M,0.1,60,4.6
Broan,ZB110M,0.1,70,5.1
Broan,ZB110M,0.1,80,5.8
Broan,ZB110M,0.1,90,6.4
Delta,GBR80,0.1,80,10.5
Delta,GBR80,0.25,64,12.5
NuTone,AEN80,0.1,80,26.9
NuTone,AERN110,0.1,110,23.4
Panasonic,FV0510VS1,0.1,100,11.1
Panasonic,FV0510VS1,0.1,50,4.4
Panasonic,FV0510VS1,0.1,80,7.2
Panasonic,FV0510VS1,0.25,100,16
Panasonic,FV0510VS1,0.25,50,7.5
Panasonic,FV0510VS1,0.25,80,11.5
Panasonic,FV0511VK1,0.1,110,9.8
Panasonic,FV0511VK1,0.1,50,3.2
Panasonic,FV0511VK1,0.1,80,5.4
Panasonic,FV0511VK1,0.25,110,16.1
Panasonic,FV0511VK1,0.25,50,6.5
Panasonic,FV0511VK1,0.25,80,10.2
Panasonic,FV0511VK2,0.1,110,9.9
Panasonic,FV0511VK2,0.1,50,3.1
Panasonic,FV0511VK2,0.1,80,5.1
Panasonic,FV0511VK2,0.25,110,15.4
Panasonic,FV0511VK2,0.25,50,6.2
Panasonic,FV0511VK2,0.25,80,9.6
Panasonic,FV0511VKS1,0.1,100,8
Panasonic,FV0511VKS1,0.1,110,9.8
Panasonic,FV0511VKS1,0.1,30,2.4
