Site	Street Number	Prefix	Street Name	Suffix	Site City	Site State	Site Zip5	Initial Meter Set Date
100380	3933	W	36	PL	YUMA	ARIZONA	85365	6/20/2011 12:00:00 AM
157284	30895	N	119	LN	PEORIA	ARIZONA	85383	11/4/2010 12:00:00 AM
271382	6326	E	QUARTZ MOUNTAIN	RD	PARADISE VALLEY	ARIZONA	85253	3/8/2011 12:00:00 AM
287289	1810	S	162	LN	GOODYEAR	ARIZONA	85338	11/22/2011 12:00:00 AM
391380	1606	W	TONTO	ST	PHOENIX	ARIZONA	85007	10/24/2011 12:00:00 AM
391389	1503	E	YALE	ST	FLAGSTAFF	ARIZONA	86001	5/11/2011 12:00:00 AM
397283	18608	W	MONTEBELLO	AVE	LITCHFIELD PARK	ARIZONA	85340	11/29/2011 12:00:00 AM
528282	3707	E	ZACHARY	DR	PHOENIX	ARIZONA	85050	11/19/2010 12:00:00 AM
768289	34370	S	MINER	RD	RED ROCK	ARIZONA	85145	4/25/2011 12:00:00 AM
830380	1741	N	167	DR	GOODYEAR	ARIZONA	85395	7/28/2011 12:00:00 AM
881382	23402	N	TATUM	 	PHOENIX	ARIZONA	85054	5/10/2011 12:00:00 AM
919280	460	 	CHOCTAW	RDG	HAPPY JACK	ARIZONA	86024	3/11/2011 12:00:00 AM
971383	7757	W	DEER VALLEY	RD	PEORIA	ARIZONA	85382	5/13/2011 12:00:00 AM
1068287	14921	S	182	DR	GOODYEAR	ARIZONA	85338	2/1/2012 12:00:00 AM
1251384	6027	E	JOSHUA TREE	LN	PARADISE VALLEY	ARIZONA	85253	3/7/2012 12:00:00 AM
1339282	2659	S	MOONLIGHT	WAY	YUMA	ARIZONA	85365	11/17/2011 12:00:00 AM
1447285	16208	W	BERKELEY	RD	GOODYEAR	ARIZONA	85395	11/9/2011 12:00:00 AM
1710387	2515	 	14	ST	DOUGLAS	ARIZONA	85607	5/25/2011 12:00:00 AM
1869285	3400	S	AVENUE 7E	 	YUMA	ARIZONA	85365	11/19/2010 12:00:00 AM
1877282	14890	W	GEORGIA	DR	SURPRISE	ARIZONA	85379	3/16/2012 12:00:00 AM
2041389	7392	E	BALAO	DR	SCOTTSDALE	ARIZONA	85266	1/20/2012 12:00:00 AM
2132385	4570	N	CENTRAL	AVE	PHOENIX	ARIZONA	85012	10/5/2011 12:00:00 AM
2251381	10155	E	VIA LINDA	 	SCOTTSDALE	ARIZONA	85258	11/4/2010 12:00:00 AM
2412381	121	W	6	ST	TEMPE	ARIZONA	85281	8/11/2011 12:00:00 AM
2470381	882	E	DEL RIO	ST	CHANDLER	ARIZONA	85225	9/9/2011 12:00:00 AM
2932381	20435	N	7	ST	PHOENIX	ARIZONA	85024	2/3/2012 12:00:00 AM
3097285	7385	W	PALO BREA	LN	PEORIA	ARIZONA	85383	12/1/2010 12:00:00 AM
3135281	4420	W	BRAIDED REIN	 	FLAGSTAFF	ARIZONA	86001	4/4/2011 12:00:00 AM
3138281	3714	E	ZACHARY	DR	PHOENIX	ARIZONA	85050	12/8/2010 12:00:00 AM
3201384	10187	E	HAPPY VALLEY	RD	SCOTTSDALE	ARIZONA	85255	12/28/2011 12:00:00 AM
3372384	551	E	APACHE	BLVD	TEMPE	ARIZONA	85281	4/11/2012 12:00:00 AM
3709282	9539	W	FRANK	AVE	PEORIA	ARIZONA	85382	11/9/2011 12:00:00 AM
3769280	3400	S	AVENUE 7E	 	YUMA	ARIZONA	85365	12/9/2010 12:00:00 AM
3787284	18412	W	LUKE	AVE	LITCHFIELD PARK	ARIZONA	85340	10/10/2011 12:00:00 AM
4069282	3400	S	AVENUE 7E	 	YUMA	ARIZONA	85365	12/2/2010 12:00:00 AM
4132380	3330	E	VAN BUREN	ST	PHOENIX	ARIZONA	85008	11/18/2011 12:00:00 AM
4301385	912	 	CANTERBURY	LN	PRESCOTT	ARIZONA	86301	1/25/2011 12:00:00 AM
4381386	868	W	PETERS	RD	CASA GRANDE	ARIZONA	85193	6/2/2011 12:00:00 AM
4422388	1617	W	MARICOPA	ST	PHOENIX	ARIZONA	85007	8/29/2011 12:00:00 AM
4440389	16720	W	BERKELEY	RD	GOODYEAR	ARIZONA	85395	11/18/2011 12:00:00 AM
4690382	912	 	CANTERBURY	LN	PRESCOTT	ARIZONA	86301	1/25/2011 12:00:00 AM
4781380	12180	W	SEXTON	RD	SKULL VALLEY	ARIZONA	86338	5/11/2011 12:00:00 AM
4807282	16497	W	VIRGINIA	AVE	GOODYEAR	ARIZONA	85395	7/13/2011 12:00:00 AM
4809286	17142	S	176	DR	GOODYEAR	ARIZONA	85338	3/11/2011 12:00:00 AM
4852388	1832	 	ENCHANTED CANYON	WAY	PRESCOTT	ARIZONA	86305	1/23/2012 12:00:00 AM
5198284	7301	W	MONTE CRISTO	AVE	GLENDALE	ARIZONA	85308	2/8/2011 12:00:00 AM
5281389	3845	N	VIEWPOINT	DR	PRESCOTT VALLEY	ARIZONA	86314	10/19/2011 12:00:00 AM
5438288	19258	W	OREGON	AVE	LITCHFIELD PARK	ARIZONA	85340	10/28/2011 12:00:00 AM
5549289	2020	S	238	LN	BUCKEYE	ARIZONA	85326	4/4/2011 12:00:00 AM
5571386	3687	 	PAPERMILL	RD	TAYLOR	ARIZONA	85939	2/23/2011 12:00:00 AM
5746285	409	W	WULFENITE	RD	FLAGSTAFF	ARIZONA	86001	12/16/2011 12:00:00 AM
5999286	13169	S	SHEILA	AVE	YUMA	ARIZONA	85367	12/20/2011 12:00:00 AM
6049288	4020	E	NAVIGATOR	LN	PHOENIX	ARIZONA	85050	5/6/2011 12:00:00 AM
6137283	2800	N	PRESIDENTIAL	DR	FLORENCE	ARIZONA	85132	3/15/2011 12:00:00 AM
6138280	16371	W	CIELO GRANDE	AVE	SURPRISE	ARIZONA	85387	11/9/2010 12:00:00 AM
6151380	2150	E	HUNTINGTON BATCH PLANT	DR	FLAGSTAFF	ARIZONA	86004	11/10/2010 12:00:00 AM
6229284	1380	 	BLACK BEAR	DR	COTTONWOOD	ARIZONA	86326	10/27/2010 12:00:00 AM
6252389	211	N	DONNELLY	AVE	WINSLOW	ARIZONA	86047	1/5/2012 12:00:00 AM
6417285	28772	N	67	DR	PEORIA	ARIZONA	85383	4/5/2012 12:00:00 AM
6431387	30	 	EMERALD	CT	SEDONA	ARIZONA	86336	3/15/2011 12:00:00 AM
6476285	2444	N	164	AVE	GOODYEAR	ARIZONA	85395	11/10/2010 12:00:00 AM
6502381	7650	W	ESCUDA	DR	GLENDALE	ARIZONA	85308	6/20/2011 12:00:00 AM
6601381	123	 	BRADSHAW	DR	PRESCOTT	ARIZONA	86303	3/24/2011 12:00:00 AM
