"BldrId"	"SubCode"	"LotNo"	"SiteId"	"SolarReady"	"SolarType"	"LotStatus"	"PlanNo"	"AddrNo"	"AddrDir"	"AddrName"	"AddrSufx"	"LtCity"	"LtState"	"LtZip"	"CkReqDate"	"PdDate"	"AmtPd"	"AmtPd_SR"	"H2OPV_Pd"	"PdDate_SR"	"InitialMeterSet"	"ComplianceDate"	"CkNumb"	"Dev"	"AppendDate"	"LotRecno"	"Comments"
"SHEA1"	"SHETRI2"	2319.00	329581383			"Paid"	"4560953"	"12985"	"W"	"Roy Rodgers"	"Rd"	"Peoria"	"AZ"	"85383"	3/26/12 0:00:00	4/5/12 0:00:00	$400.00		$0.00		9/2/11 0:00:00	11/30/11 0:00:00	32050582	"Vistancia"	3/26/12 0:00:00	31495
"ELL01"	"70ELARRSR"	113.00	244978284	"Y"		"Paid"		"12649"	"S"	"Driftwood"	"Dr"	"Yuma"	"AZ"	"85367"	3/26/12 0:00:00	4/5/12 0:00:00	$1000.00	$100.00	$0.00		5/10/11 0:00:00	9/2/11 0:00:00	32050591			31496
"LEN01"	"LENASA70"	16.00	151338283	"N"	"N/A"	"Paid"	"4510"	"24016"	"N"	"164"	"Ave"	"Surprise"	"AZ"	"85387"	3/26/12 0:00:00	4/5/12 0:00:00	$1000.00		$0.00		11/23/10 0:00:00	10/18/10 0:00:00	32050587	"Asante Horizon"	3/26/12 0:00:00	31256
"LEN01"	"LENASA70"	17.00	114428282	"N"	"N/A"	"Paid"	"4516"	"24038"	"N"	"164"	"Ave"	"Surprise"	"AZ"	"85387"	3/26/12 0:00:00	4/5/12 0:00:00	$1000.00		$0.00		4/7/11 0:00:00	4/14/11 0:00:00	32050587	"Asante Horizon"	3/26/12 0:00:00	31257
"LEN01"	"LENASA70"	18.00	762728284	"N"	"N/A"	"Paid"	"4516"	"24050"	"N"	"164"	"Ave"	"Surprise"	"AZ"	"85387"	3/26/12 0:00:00	4/5/12 0:00:00	$1000.00		$0.00		7/15/11 0:00:00	7/28/11 0:00:00	32050587	"Asante Horizon"	3/26/12 0:00:00	31258
"LEN01"	"LENASA70"	19.00	251338283	"N"	"N/A"	"Paid"	"4510"	"24072"	"N"	"164"	"Ave"	"Surprise"	"AZ"	"85387"	3/26/12 0:00:00	4/5/12 0:00:00	$1000.00		$0.00		8/25/11 0:00:00	6/14/11 0:00:00	32050587	"Asante Horizon"	3/26/12 0:00:00	31259
"LEN01"	"LENASA70"	20.00	214428282	"N"	"N/A"	"Paid"	"4516"	"24084"	"N"	"164"	"Ave"	"Surprise"	"AZ"	"85387"	3/26/12 0:00:00	4/5/12 0:00:00	$1000.00		$0.00		8/23/10 0:00:00	8/30/10 0:00:00	32050587	"Asante Horizon"	3/26/12 0:00:00	31260
"LEN01"	"LENASA70"	21.00	934038287	"N"	"N/A"	"Paid"	"4516"	"24106"	"N"	"164"	"Ave"	"Surprise"	"AZ"	"85387"	3/26/12 0:00:00	4/5/12 0:00:00	$1000.00		$0.00		3/15/11 0:00:00	3/21/11 0:00:00	32050587	"Asante Horizon"	3/26/12 0:00:00	31261
"LEN01"	"LENASA70"	79.00	569238281	"N"	"N/A"	"Paid"	"4516"	"23940"	"N"	"163"	"Dr"	"Surprise"	"AZ"	"85387"	3/26/12 0:00:00	4/5/12 0:00:00	$1000.00		$0.00		9/22/10 0:00:00	11/5/10 0:00:00	32050587	"Asante Horizon"	3/26/12 0:00:00	31262
"LEN01"	"LENASA70"	83.00	6138280	"N"	"N/A"	"Paid"	"452"	"16371"	"W"	"Cielo Grande"	"Ave"	"Surprise"	"AZ"	"85387"	3/26/12 0:00:00	4/5/12 0:00:00	$1000.00		$0.00		2/7/12 0:00:00	11/30/10 0:00:00	32050587	"Asante Horizon"	3/26/12 0:00:00	31263
