"BldrId"	"SubCode"	"Sub"	"Active"	"MstrPlan"	"SubLocation"	"SubLocCity"	"SubLocZip"	"LotsSigned"	"LotsPaid"	"ContractDate"	"ExpDate"	"AddendumDate"	"AddendumLots"	"AmmendedDate"	"AmmendedLots"	"Rater"	"SolarCommunity"	"Parcel"	"SubComment"
"ELL01"	"70ELARASR"	"Araby Crossing"	1		"Crossing Ave"	"Yuma"	"85365"	152	1	9/1/10 0:00:00	12/31/11 0:00:00				0	"Energy Inspectors"	1	"NA"	" "
"ELL01"	"70ELARRSR"	"Arroyo De Fortuna"	0		"44th St."	"Yuma"	"85367"	24	24	9/1/10 0:00:00	12/31/11 0:00:00				0	"Energy Inspectors"	1	"NA"	" "
"JCH01"	"70JCHPRE"	"AVATAR-Preserve At Palm Valley"	1	"Palm Valley"	"Litchfield Rd & Palm Valley Blvd"	"Goodyear"	"85359"	22	9	10/1/10 0:00:00	12/31/11 0:00:00			1/1/11 0:00:00	0	"EFL"	0	"NA"	" "
"LOV01"	"70LOVIZA"	"Izabel Homes"	1		"N. Izabel St. & Felice Ave."	"Flagstaff"	"86001"	16	3	8/1/10 0:00:00	12/31/11 0:00:00				0	"E3"	0	"NA"	" "
"MONA1"	"70MONAPRSR"	"Privada"	1		"Alma School N. Of Jomax"	"Scottsdale"	"85262"	25	1	8/1/09 0:00:00	8/1/11 0:00:00				0	"EFL"	1	"NA"	" "
"MER01"	"70MPVCOSR"	"Palm Valley Cortile"	1	"Palm Valley"	"Mcdowell & Litchfield Rd."	"Goodyear"	"85395"	93	31	10/15/10 0:00:00	12/31/11 0:00:00			1/1/11 0:00:00	0	"DRW"	1	"NA"	" "
"ABB01"	"ABBVAL"	"Valle del Sol"	0		"Somerton Ave. & 12th St."	"Somerton"	"85364"	201	0	5/1/08 0:00:00	5/1/10 0:00:00				0	"Energy Inspectors"	0
"ABB01"	"ABBVEN"	"Venezia"	0		"Cesar Chavez & Madison"	"Somerton"	"85364"	180	1	5/1/08 0:00:00	5/1/10 0:00:00				0	"Energy Inspectors"	0
"PUL01"	"AMR5KCAC"	"Parkside 4000 ~ Cactus"	0	"Anthem at Merrill Ranch"	"Hunt Hwy & Merrill Ranch Pkwy"	"Florence"	"85132"	100	0	11/1/11 0:00:00	12/31/11 0:00:00				0	"EFL"	0	"NA"	" "
"PUL01"	"AMR5KCAN"	"Parkside 5000 ~ Canyon"	0	"Anthem at Merrill Ranch"	"Hunt Hwy & Merrill Ranch Pkwy"	"Florence"	"85132"	100	0	11/1/11 0:00:00	12/1/11 0:00:00				0	"EFL"	0	"NA"	" "
